nba_game_id,series_id,round_number,matchup_number,series_game_number,away_team_tricode,home_team_tricode,cap_team_a,cap_team_b,cap_team_a_control_share,cap_team_b_control_share,cap_home_minus_away_share,absolute_cap_share_gap,cap_categorical_controller,cap_controller_location,cap_determinacy_status,away_seed,home_seed,higher_seed_location,forecast_source_id,forecast_control_team_tricode,official_away_score,official_home_score,final_home_minus_away_margin,absolute_final_margin,winner_location,halftime_home_minus_away_margin,absolute_halftime_margin,halftime_leader,home_led_seconds,away_led_seconds,tied_seconds,lead_duration_difference,absolute_lead_duration_difference,team_led_longer,home_largest_lead,away_largest_lead,largest_lead_team,signed_largest_lead_advantage,absolute_largest_lead_advantage,larger_largest_lead,lead_changes,clutch_game,one_possession_game,overtime,number_of_overtimes,permanent_winner_lead_fraction,pbp_validation_status,source_reconciliation_status,missingness_status
0042500101,DET-ORL,1,1,1,ORL,DET,ORL,DET,0.358974,0.415385,0.056411,0.056411,DET,HOME,DETERMINATE,8,1,HOME,RF2026-001,DET,112,101,-11,11,AWAY,-4,4,AWAY,0.0,2796.0,84.0,-2796.0,2796.0,AWAY,0,13,AWAY,-13,13,13,0,False,False,False,0,0.6104166666666667,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500102,DET-ORL,1,1,2,ORL,DET,ORL,DET,0.382653,0.443878,0.061225,0.061225,indeterminate,INDETERMINATE,INDETERMINATE,8,1,HOME,RF2026-009,DET,83,98,15,15,HOME,0,0,TIED,2644.3,44.0,191.7,2600.3,2600.3,HOME,27,1,HOME,26,26,27,4,False,False,False,0,0.5076388888888889,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500103,DET-ORL,1,1,3,DET,ORL,DET,ORL,0.319372,0.471204,0.151832,0.151832,ORL,HOME,DETERMINATE,1,8,AWAY,RF2026-015,DET,105,113,8,8,HOME,7,7,HOME,2271.0,301.1,307.9,1969.9,1969.9,HOME,17,4,HOME,13,13,17,12,True,False,False,0,0.9479166666666666,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500104,DET-ORL,1,1,4,DET,ORL,DET,ORL,0.412371,0.407216,-0.005155,0.005155,indeterminate,INDETERMINATE,INDETERMINATE,1,8,AWAY,RF2026-021,DET,88,94,6,6,HOME,2,2,HOME,2022.0,769.0,89.0,1253.0,1253.0,HOME,12,10,HOME,2,2,12,8,True,False,False,0,0.8975694444444444,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500105,DET-ORL,1,1,5,ORL,DET,ORL,DET,0.240838,0.465969,0.225131,0.225131,DET,HOME,DETERMINATE,8,1,HOME,RF2026-026,DET,109,116,7,7,HOME,6,6,HOME,2864.0,0.0,16.0,2864.0,2864.0,HOME,17,0,HOME,17,17,17,0,True,False,False,0,0.005555555555555556,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500106,DET-ORL,1,1,6,DET,ORL,DET,ORL,0.41954,0.41954,0.000000,0.000000,indeterminate,INDETERMINATE,INDETERMINATE,1,8,AWAY,RF2026-030,DET,93,79,-14,14,AWAY,22,22,HOME,1984.0,791.0,105.0,1193.0,1193.0,HOME,24,14,HOME,10,10,24,7,True,False,False,0,0.8534722222222222,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500107,DET-ORL,1,1,7,ORL,DET,ORL,DET,0.333333,0.4,0.066667,0.066667,DET,HOME,DETERMINATE,8,1,HOME,RF2026-033,DET,94,116,22,22,HOME,11,11,HOME,2183.0,455.0,242.0,1728.0,1728.0,HOME,25,4,HOME,21,21,25,12,False,False,False,0,0.4479166666666667,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500111,BOS-PHI,1,2,1,PHI,BOS,PHI,BOS,0.209581,0.526946,0.317365,0.317365,BOS,HOME,DETERMINATE,7,2,HOME,RF2026-002,BOS,91,123,32,32,HOME,18,18,HOME,2839.0,0.0,41.0,2839.0,2839.0,HOME,35,0,HOME,35,35,35,0,False,False,False,0,0.05,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500112,BOS-PHI,1,2,2,PHI,BOS,PHI,BOS,0.428571,0.297143,-0.131428,0.131428,PHI,AWAY,DETERMINATE,7,2,HOME,RF2026-006,BOS,111,97,-14,14,AWAY,-8,8,AWAY,839.0,1890.0,151.0,-1051.0,1051.0,AWAY,13,16,AWAY,-3,3,16,7,False,False,False,0,0.39652777777777776,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500113,BOS-PHI,1,2,3,BOS,PHI,BOS,PHI,0.186441,0.367232,0.180791,0.180791,PHI,HOME,DETERMINATE,2,7,AWAY,RF2026-012,BOS,108,100,-8,8,AWAY,-7,7,AWAY,476.0,2165.0,239.0,-1689.0,1689.0,AWAY,4,10,AWAY,-6,6,10,8,True,False,False,0,0.8527777777777777,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
