forecast_id,note_id,canonical_note_url,published_at_utc,official_tipoff_utc,lead_time_minutes,actual_start_utc,lead_time_to_actual_start_minutes,prospective_timing_basis,prospective_status_final,nba_game_id,round,series_key,official_game_number,away_team,home_team,predicted_control_team,predicted_outcome_team,analysis_outcome_call_correct,edited_flag,metadata_correction_flag,strict_prospective_sample,strict_sample_exclusion_reason
RF2026-001,c-245839479,https://substack.com/@markbarnekow/note/c-245839479,2026-04-19T14:32:31.733000Z,2026-04-19T22:30:00Z,477.47111666666666,2026-04-19T22:38:00Z,485.47111666666666,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500101,First Round,DET-ORL,1,ORL,DET,DET,DET,False,True,False,True,
RF2026-002,c-245779220,https://substack.com/@markbarnekow/note/c-245779220,2026-04-19T12:01:41.329000Z,2026-04-19T17:00:00Z,298.3111833333333,2026-04-19T17:11:00Z,309.3111833333333,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500111,First Round,BOS-PHI,1,PHI,BOS,BOS,BOS,True,False,False,True,
RF2026-003,c-245833291,https://substack.com/@markbarnekow/note/c-245833291,2026-04-19T14:19:15.126000Z,2026-04-19T19:30:00Z,310.7479,2026-04-19T19:47:00Z,327.7479,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500141,First Round,OKC-PHX,1,PHX,OKC,OKC,OKC,True,False,False,True,
RF2026-004,c-245851198,https://substack.com/@markbarnekow/note/c-245851198,2026-04-19T14:57:10.369000Z,2026-04-20T01:00:00Z,602.8271833333333,2026-04-20T01:18:00Z,620.8271833333333,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500151,First Round,SAS-POR,1,POR,SAS,SAS,SAS,True,True,False,True,
RF2026-005,c-246596146,https://substack.com/@markbarnekow/note/c-246596146,2026-04-20T23:37:01.558000Z,2026-04-21T00:00:00Z,22.974033333333335,2026-04-21T00:10:00Z,32.97403333333333,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500122,First Round,NYK-ATL,2,ATL,NYK,NYK,NYK,False,False,False,True,
RF2026-006,c-247097964,https://substack.com/@markbarnekow/note/c-247097964,2026-04-21T22:04:06.441000Z,2026-04-21T23:00:00Z,55.89265,2026-04-21T23:13:00Z,68.89265,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500112,First Round,BOS-PHI,2,PHI,BOS,BOS,BOS,False,True,False,True,
RF2026-007,c-247112061,https://substack.com/@markbarnekow/note/c-247112061,2026-04-21T22:37:09.341000Z,2026-04-22T00:00:00Z,82.84431666666666,2026-04-22T00:07:00Z,89.84431666666666,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500152,First Round,SAS-POR,2,POR,SAS,SAS,SAS,False,False,False,True,
RF2026-008,c-247124924,https://substack.com/@markbarnekow/note/c-247124924,2026-04-21T23:10:15.604000Z,2026-04-22T02:30:00Z,199.73993333333334,2026-04-22T02:48:00Z,217.73993333333334,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500172,First Round,LAL-HOU,2,HOU,LAL,HOU,HOU,False,False,False,True,
RF2026-009,c-247675603,https://substack.com/@markbarnekow/note/c-247675603,2026-04-22T22:30:42.830000Z,2026-04-22T23:00:00Z,29.286166666666666,2026-04-22T23:14:00Z,43.28616666666667,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500102,First Round,DET-ORL,2,ORL,DET,DET,DET,True,False,False,True,
RF2026-010,c-247683188,https://substack.com/@markbarnekow/note/c-247683188,2026-04-22T22:50:18.412000Z,2026-04-23T01:30:00Z,159.69313333333332,2026-04-23T01:48:00Z,177.69313333333332,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500142,First Round,OKC-PHX,2,PHX,OKC,OKC,OKC,True,False,False,True,
RF2026-011,c-248198111,https://substack.com/@markbarnekow/note/c-248198111,2026-04-23T22:13:53.479000Z,2026-04-23T23:00:00Z,46.10868333333334,2026-04-23T23:11:00Z,57.10868333333334,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500123,First Round,NYK-ATL,3,NYK,ATL,NYK,NYK,False,False,False,True,
RF2026-012,c-248724656,https://substack.com/@markbarnekow/note/c-248724656,2026-04-24T22:49:49.497000Z,2026-04-24T23:00:00Z,10.17505,2026-04-24T23:13:00Z,23.17505,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500113,First Round,BOS-PHI,3,BOS,PHI,BOS,BOS,True,False,False,True,
RF2026-013,c-248795137,https://substack.com/@markbarnekow/note/c-248795137,2026-04-25T02:35:29.464000Z,2026-04-25T02:30:00Z,-5.491066666666667,2026-04-25T02:49:00Z,13.508933333333333,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500153,First Round,SAS-POR,3,SAS,POR,SAS,SAS,True,False,False,True,
RF2026-014,c-248748173,https://substack.com/@markbarnekow/note/c-248748173,2026-04-24T23:56:24.296000Z,2026-04-25T00:00:00Z,3.595066666666667,2026-04-25T00:10:00Z,13.595066666666666,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500173,First Round,LAL-HOU,3,LAL,HOU,LAL,LAL,True,False,False,True,
