h1_window_id,nba_game_id,series_id,period,index_end_clock_seconds,home_score_differential_after_index,lag5_signed_net_points,home_control_indicator,away_control_indicator,future5_signed_net_points,h1_y10_model_eligible,future10_signed_net_points,future5_structural_failure_differential
H1W00001,0042500101,DET-ORL,1,634,-3,0,false,true,-2,True,-5,0
H1W00002,0042500101,DET-ORL,1,613,-3,-3,false,true,-2,True,-5,0
H1W00003,0042500101,DET-ORL,1,603,-5,0,false,true,2,True,-5,0
H1W00004,0042500101,DET-ORL,1,564,-5,-2,false,true,-1,True,-5,0
H1W00005,0042500101,DET-ORL,1,558,-5,-2,false,true,-1,True,-8,-2
H1W00006,0042500101,DET-ORL,1,553,-5,-5,false,true,-3,True,-5,-1
H1W00007,0042500101,DET-ORL,1,530,-5,-2,false,true,-3,True,-5,-1
H1W00008,0042500101,DET-ORL,1,509,-6,-1,false,true,-7,True,-2,-1
H1W00009,0042500101,DET-ORL,1,507,-8,-1,false,true,-2,True,-2,-1
H1W00010,0042500101,DET-ORL,1,491,-8,-3,false,true,-2,True,-2,-1
H1W00011,0042500101,DET-ORL,1,469,-10,-3,false,true,0,True,-2,-1
H1W00012,0042500101,DET-ORL,1,322,-12,-2,false,false,3,True,3,-1
H1W00013,0042500101,DET-ORL,1,316,-9,-4,false,false,-2,True,2,-1
H1W00014,0042500101,DET-ORL,1,291,-9,1,false,false,0,True,2,-1
H1W00015,0042500101,DET-ORL,1,239,-11,3,false,true,4,True,4,0
H1W00016,0042500101,DET-ORL,1,225,-9,-2,false,true,2,True,4,0
H1W00017,0042500101,DET-ORL,1,220,-12,0,false,true,7,True,7,0
H1W00018,0042500101,DET-ORL,1,208,-9,-3,false,true,4,True,7,0
H1W00019,0042500101,DET-ORL,1,192,-9,0,false,true,4,True,5,-1
H1W00020,0042500101,DET-ORL,1,186,-7,0,true,false,0,True,3,-1
H1W00021,0042500101,DET-ORL,1,159,-7,4,true,false,2,True,1,-1
H1W00022,0042500101,DET-ORL,1,152,-5,2,true,false,0,True,-1,-1
H1W00023,0042500101,DET-ORL,1,128,-5,7,true,false,3,True,-3,-1
H1W00024,0042500101,DET-ORL,1,121,-5,4,true,false,1,True,-3,0
H1W00025,0042500101,DET-ORL,1,117,-7,4,true,false,3,False,,0
H1W00026,0042500101,DET-ORL,1,109,-5,0,true,false,-1,False,,0
H1W00027,0042500101,DET-ORL,1,91,-5,2,true,false,-1,False,,0
H1W00028,0042500101,DET-ORL,1,79,-2,0,true,false,-6,False,,0
H1W00029,0042500101,DET-ORL,1,63,-4,3,true,false,-4,False,,0
H1W00030,0042500101,DET-ORL,2,650,-4,2,false,false,-3,True,-4,0
H1W00031,0042500101,DET-ORL,2,629,-6,4,false,false,0,True,-3,0
H1W00032,0042500101,DET-ORL,2,602,-6,2,false,false,-2,True,-1,0
H1W00033,0042500101,DET-ORL,2,540,-6,-3,true,false,-3,True,1,0
H1W00034,0042500101,DET-ORL,2,518,-8,0,true,false,1,True,3,0
H1W00035,0042500101,DET-ORL,2,507,-6,-2,true,false,-1,True,2,1
H1W00036,0042500101,DET-ORL,2,495,-8,0,true,false,3,True,4,1
H1W00037,0042500101,DET-ORL,2,474,-8,-4,true,false,1,True,4,1
H1W00038,0042500101,DET-ORL,2,365,-5,1,true,false,1,True,1,1
H1W00039,0042500101,DET-ORL,2,340,-5,4,true,false,3,True,1,1
H1W00040,0042500101,DET-ORL,2,333,-4,2,true,false,2,True,2,2
H1W00041,0042500101,DET-ORL,2,313,-4,3,true,false,2,True,2,1
H1W00042,0042500101,DET-ORL,2,299,-4,1,true,false,0,True,2,1
H1W00043,0042500101,DET-ORL,2,296,-4,3,true,false,0,True,-1,0
H1W00044,0042500101,DET-ORL,2,282,-2,1,true,false,-2,True,-2,1
H1W00045,0042500101,DET-ORL,2,273,-2,3,true,false,0,True,-2,0
H1W00046,0042500101,DET-ORL,2,269,-2,2,true,false,0,True,-1,2
H1W00047,0042500101,DET-ORL,2,258,-4,2,true,false,2,True,1,2
H1W00048,0042500101,DET-ORL,2,232,-4,0,true,false,-1,True,1,2
H1W00049,0042500101,DET-ORL,2,221,-4,0,true,false,0,True,1,1
H1W00050,0042500101,DET-ORL,2,214,-2,-2,true,false,-2,True,1,1
H1W00051,0042500101,DET-ORL,2,198,-2,0,true,false,-1,True,1,0
H1W00052,0042500101,DET-ORL,2,190,-2,0,true,false,-1,True,1,0
H1W00053,0042500101,DET-ORL,2,182,-5,2,true,false,2,True,1,0
H1W00054,0042500101,DET-ORL,2,156,-4,-1,true,false,1,True,0,1
H1W00055,0042500101,DET-ORL,2,136,-4,0,true,false,3,True,0,1
H1W00056,0042500101,DET-ORL,2,129,-3,-2,true,false,2,True,-1,1
H1W00057,0042500101,DET-ORL,2,105,-3,-1,true,false,2,False,,1
H1W00058,0042500101,DET-ORL,2,97,-3,-1,true,false,-1,False,,1
H1W00059,0042500101,DET-ORL,2,88,-3,2,true,false,-1,False,,0
H1W00060,0042500101,DET-ORL,2,83,-1,1,true,false,-3,False,,0
H1W00061,0042500101,DET-ORL,2,59,-1,3,true,false,-3,False,,0
H1W00062,0042500101,DET-ORL,3,575,-11,-3,false,true,8,True,9,0
H1W00063,0042500101,DET-ORL,3,562,-9,-6,false,true,6,True,7,0
H1W00064,0042500101,DET-ORL,3,537,-9,-2,false,true,8,True,4,0
H1W00065,0042500101,DET-ORL,3,526,-6,-2,true,false,3,True,3,0
H1W00066,0042500101,DET-ORL,3,505,-6,3,true,false,6,True,3,0
H1W00067,0042500101,DET-ORL,3,497,-3,3,true,false,1,True,1,0
H1W00068,0042500101,DET-ORL,3,474,-3,8,true,false,1,True,-1,0
H1W00069,0042500101,DET-ORL,3,465,-1,6,true,false,-4,True,-3,0
H1W00070,0042500101,DET-ORL,3,443,-3,8,true,false,0,True,-3,0
H1W00071,0042500101,DET-ORL,3,424,0,3,true,false,-3,True,-6,0
H1W00072,0042500101,DET-ORL,3,402,-2,6,true,false,0,True,-7,0
H1W00073,0042500101,DET-ORL,3,388,-2,1,false,true,-2,True,-7,0
H1W00074,0042500101,DET-ORL,3,381,-5,1,false,true,1,True,-6,-1
H1W00075,0042500101,DET-ORL,3,365,-3,-4,false,true,-3,True,-8,-1
H1W00076,0042500101,DET-ORL,3,339,-3,0,false,true,-3,True,-8,-1
H1W00077,0042500101,DET-ORL,3,337,-2,-3,true,false,-7,True,-7,-1
H1W00078,0042500101,DET-ORL,3,319,-4,0,true,false,-5,True,-5,-1
H1W00079,0042500101,DET-ORL,3,311,-4,-2,true,false,-7,True,-5,0
H1W00080,0042500101,DET-ORL,3,294,-6,1,true,false,-5,True,-3,-1
H1W00081,0042500101,DET-ORL,3,264,-6,-3,true,false,-5,True,-1,0
H1W00082,0042500101,DET-ORL,3,249,-9,-3,false,true,0,True,0,0
H1W00083,0042500101,DET-ORL,3,228,-9,-7,false,true,0,True,2,0
H1W00084,0042500101,DET-ORL,3,224,-11,-5,false,true,2,True,4,0
H1W00085,0042500101,DET-ORL,3,198,-11,-7,false,true,2,True,4,2
H1W00086,0042500101,DET-ORL,3,175,-11,-5,false,true,4,True,4,1
H1W00087,0042500101,DET-ORL,3,156,-9,-5,false,true,0,False,,1
H1W00088,0042500101,DET-ORL,3,125,-9,0,false,true,2,False,,1
H1W00089,0042500101,DET-ORL,3,100,-9,0,false,true,2,False,,1
H1W00090,0042500101,DET-ORL,3,86,-9,2,true,false,2,False,,-1
H1W00091,0042500101,DET-ORL,3,86,-7,2,true,false,0,False,,-1
H1W00092,0042500101,DET-ORL,4,632,-7,0,true,false,3,True,-1,0
H1W00093,0042500101,DET-ORL,4,620,-4,0,true,false,-2,True,-2,0
H1W00094,0042500101,DET-ORL,4,591,-7,5,true,false,1,True,1,-1
H1W00095,0042500101,DET-ORL,4,571,-5,0,true,false,-3,True,1,-1
H1W00096,0042500101,DET-ORL,4,552,-7,4,true,false,1,True,0,-1
H1W00097,0042500101,DET-ORL,4,534,-4,0,true,false,-4,True,-3,-1
H1W00098,0042500101,DET-ORL,4,517,-6,3,true,false,0,True,-3,-1
H1W00099,0042500101,DET-ORL,4,368,-9,1,false,true,1,True,0,-1
H1W00100,0042500101,DET-ORL,4,347,-8,-3,false,true,0,True,-1,-1
H1W00101,0042500101,DET-ORL,4,322,-8,-2,false,true,0,True,-2,-1
H1W00102,0042500101,DET-ORL,4,182,-10,-1,false,true,-2,True,0,1
H1W00103,0042500101,DET-ORL,4,162,-10,-2,false,true,-2,True,0,1
H1W00104,0042500101,DET-ORL,4,147,-10,-2,false,true,0,True,-2,0
H1W00105,0042500101,DET-ORL,4,139,-10,-3,false,true,0,True,-2,0
H1W00106,0042500101,DET-ORL,4,133,-12,-1,false,true,4,False,,0
H1W00107,0042500101,DET-ORL,4,118,-12,-3,false,true,2,False,,0
H1W00108,0042500101,DET-ORL,4,98,-12,-2,false,true,2,False,,-1
H1W00109,0042500101,DET-ORL,4,93,-10,-2,false,true,-2,False,,-1
H1W00110,0042500101,DET-ORL,4,72,-10,0,false,true,-2,False,,-1
H1W00111,0042500102,DET-ORL,1,606,4,4,true,false,-2,True,-2,-1
H1W00112,0042500102,DET-ORL,1,583,4,4,true,false,-2,True,-2,-2
H1W00113,0042500102,DET-ORL,1,571,4,2,true,false,-2,True,-2,-1
H1W00114,0042500102,DET-ORL,1,561,2,2,true,false,2,True,-2,-1
H1W00115,0042500102,DET-ORL,1,548,2,-3,true,false,0,True,0,-1
H1W00116,0042500102,DET-ORL,1,541,2,-2,true,false,0,True,0,-2
H1W00117,0042500102,DET-ORL,1,541,2,-2,false,true,0,True,3,-1
H1W00118,0042500102,DET-ORL,1,532,2,-2,false,true,0,True,3,-1
H1W00119,0042500102,DET-ORL,1,515,4,-2,false,true,-4,True,3,-1
H1W00120,0042500102,DET-ORL,1,507,2,2,false,true,0,True,1,-1
H1W00121,0042500102,DET-ORL,1,403,7,3,true,false,0,True,-2,0
H1W00122,0042500102,DET-ORL,1,386,3,7,true,false,4,True,0,0
H1W00123,0042500102,DET-ORL,1,362,5,1,true,false,2,True,-2,1
H1W00124,0042500102,DET-ORL,1,344,5,3,true,false,2,True,-4,1
H1W00125,0042500102,DET-ORL,1,340,7,0,true,false,-2,True,-4,1
H1W00126,0042500102,DET-ORL,1,314,7,2,true,false,-2,True,-6,0
H1W00127,0042500102,DET-ORL,1,305,7,0,true,false,-4,True,-6,0
H1W00128,0042500102,DET-ORL,1,299,7,4,true,false,-4,True,-6,-1
H1W00129,0042500102,DET-ORL,1,279,7,2,true,false,-6,True,-6,-1
H1W00130,0042500102,DET-ORL,1,279,5,2,true,false,-2,True,-4,-1
H1W00131,0042500102,DET-ORL,1,261,5,-2,false,true,-4,True,-4,0
H1W00132,0042500102,DET-ORL,1,256,3,-2,false,true,-2,True,-4,-1
H1W00133,0042500102,DET-ORL,1,241,3,-4,false,true,-2,True,-2,0
H1W00134,0042500102,DET-ORL,1,219,1,-4,false,true,0,True,0,-1
H1W00135,0042500102,DET-ORL,1,205,3,-6,false,true,-2,True,-2,-1
H1W00136,0042500102,DET-ORL,1,192,1,-2,false,true,0,True,0,-2
H1W00137,0042500102,DET-ORL,1,174,1,-4,false,true,-2,True,3,-1
H1W00138,0042500102,DET-ORL,1,157,1,-2,false,true,0,True,3,-2
H1W00139,0042500102,DET-ORL,1,131,1,-2,false,true,0,True,3,-1
H1W00140,0042500102,DET-ORL,1,123,1,0,false,true,0,False,,-2
H1W00141,0042500102,DET-ORL,1,117,1,-2,false,true,0,False,,0
H1W00142,0042500102,DET-ORL,1,114,-1,0,false,true,5,False,,0
H1W00143,0042500102,DET-ORL,1,85,1,-2,false,true,3,False,,0
H1W00144,0042500102,DET-ORL,1,68,1,0,false,true,3,False,,0
H1W00145,0042500102,DET-ORL,2,603,8,4,true,false,0,True,-4,0
H1W00146,0042500102,DET-ORL,2,598,8,4,true,false,-2,True,-2,1
H1W00147,0042500102,DET-ORL,2,595,6,4,true,false,0,True,-3,1
H1W00148,0042500102,DET-ORL,2,564,8,0,true,false,-4,True,-5,1
H1W00149,0042500102,DET-ORL,2,535,8,2,true,false,-4,True,-5,0
H1W00150,0042500102,DET-ORL,2,527,8,0,true,false,-4,True,-5,0
H1W00151,0042500102,DET-ORL,2,520,6,0,true,false,0,True,-3,0
H1W00152,0042500102,DET-ORL,2,502,6,-2,true,false,-3,True,-3,0
H1W00153,0042500102,DET-ORL,2,496,4,0,true,false,-1,True,-1,-1
H1W00154,0042500102,DET-ORL,2,488,4,-4,true,false,-1,True,-1,0
H1W00155,0042500102,DET-ORL,2,466,4,-4,true,false,-1,True,-3,0
H1W00156,0042500102,DET-ORL,2,446,6,-4,true,false,-3,True,-5,1
H1W00157,0042500102,DET-ORL,2,425,3,0,true,false,0,True,-2,1
H1W00158,0042500102,DET-ORL,2,363,3,0,true,false,0,True,-3,0
H1W00159,0042500102,DET-ORL,2,336,3,0,true,false,-3,True,-1,0
H1W00160,0042500102,DET-ORL,2,322,1,0,true,false,0,True,0,0
H1W00161,0042500102,DET-ORL,2,309,1,-2,true,false,-2,True,2,0
H1W00162,0042500102,DET-ORL,2,294,1,-2,true,false,-1,True,-1,0
H1W00163,0042500102,DET-ORL,2,286,3,-2,true,false,-3,True,-1,0
H1W00164,0042500102,DET-ORL,2,269,0,0,true,false,2,True,1,0
H1W00165,0042500102,DET-ORL,2,248,1,-3,true,false,0,True,2,0
H1W00166,0042500102,DET-ORL,2,229,-1,0,true,false,4,True,2,0
H1W00167,0042500102,DET-ORL,2,213,0,-2,true,false,0,True,2,0
H1W00168,0042500102,DET-ORL,2,190,0,-1,true,false,2,True,0,0
H1W00169,0042500102,DET-ORL,2,171,2,-3,true,false,-1,True,-2,0
H1W00170,0042500102,DET-ORL,2,155,1,2,true,false,2,True,-1,0
H1W00171,0042500102,DET-ORL,2,135,3,0,true,false,-2,False,,0
H1W00172,0042500102,DET-ORL,2,121,0,4,true,false,2,False,,0
H1W00173,0042500102,DET-ORL,2,103,2,0,true,false,-2,False,,0
H1W00174,0042500102,DET-ORL,2,94,1,2,true,false,-1,False,,-1
H1W00175,0042500102,DET-ORL,2,73,3,-1,false,false,-3,False,,-1
H1W00176,0042500102,DET-ORL,3,604,6,6,true,false,4,True,9,1
H1W00177,0042500102,DET-ORL,3,601,9,4,true,false,1,True,6,1
H1W00178,0042500102,DET-ORL,3,580,9,7,true,false,3,True,6,0
H1W00179,0042500102,DET-ORL,3,554,11,5,true,false,1,True,7,0
H1W00180,0042500102,DET-ORL,3,534,8,7,true,false,7,True,10,0
H1W00181,0042500102,DET-ORL,3,519,10,2,true,false,5,True,10,1
H1W00182,0042500102,DET-ORL,3,498,10,4,true,false,5,True,10,1
H1W00183,0042500102,DET-ORL,3,475,12,1,true,false,3,True,12,1
H1W00184,0042500102,DET-ORL,3,452,12,3,true,false,6,True,12,1
H1W00185,0042500102,DET-ORL,3,442,15,1,true,false,3,True,9,2
H1W00186,0042500102,DET-ORL,3,417,15,7,true,false,5,True,9,1
H1W00187,0042500102,DET-ORL,3,402,15,5,true,false,5,True,9,1
H1W00188,0042500102,DET-ORL,3,394,15,5,true,false,9,True,9,1
H1W00189,0042500102,DET-ORL,3,390,18,3,true,false,6,True,7,2
H1W00190,0042500102,DET-ORL,3,382,18,6,true,false,6,True,7,0
H1W00191,0042500102,DET-ORL,3,376,20,3,true,false,4,True,7,1
H1W00192,0042500102,DET-ORL,3,356,20,5,true,false,4,True,6,1
H1W00193,0042500102,DET-ORL,3,341,24,5,true,false,0,True,2,1
H1W00194,0042500102,DET-ORL,3,330,24,9,true,false,1,True,0,0
H1W00195,0042500102,DET-ORL,3,323,24,6,true,false,1,True,0,1
H1W00196,0042500102,DET-ORL,3,318,24,6,true,false,3,True,0,0
H1W00197,0042500102,DET-ORL,3,304,24,4,true,false,2,True,0,0
H1W00198,0042500102,DET-ORL,3,286,24,4,true,false,2,True,0,-1
H1W00199,0042500102,DET-ORL,3,286,25,0,true,false,-1,True,2,-1
H1W00200,0042500102,DET-ORL,3,122,24,0,false,false,0,False,,0
H1W00201,0042500102,DET-ORL,3,119,27,0,false,false,-5,False,,0
H1W00202,0042500102,DET-ORL,4,646,20,-2,false,true,0,True,0,0
H1W00203,0042500102,DET-ORL,4,636,18,-2,false,true,2,True,0,-1
H1W00204,0042500102,DET-ORL,4,614,20,-4,false,true,0,True,-1,-1
H1W00205,0042500102,DET-ORL,4,596,20,0,false,true,2,True,-1,-1
H1W00206,0042500102,DET-ORL,4,567,20,0,false,true,0,True,-1,-1
H1W00207,0042500102,DET-ORL,4,559,20,0,false,true,0,True,-1,-1
H1W00208,0042500102,DET-ORL,4,546,20,0,false,true,-2,True,1,0
H1W00209,0042500102,DET-ORL,4,538,20,2,false,true,-1,True,1,0
H1W00210,0042500102,DET-ORL,4,533,22,0,false,true,-3,True,-1,0
H1W00211,0042500102,DET-ORL,4,511,20,2,false,true,-1,True,1,-1
H1W00212,0042500102,DET-ORL,4,489,20,0,false,true,-1,True,1,-1
H1W00213,0042500102,DET-ORL,4,485,18,0,false,true,3,True,0,-1
H1W00214,0042500102,DET-ORL,4,466,19,-2,false,true,2,True,1,-1
H1W00215,0042500102,DET-ORL,4,452,19,-1,false,true,2,True,1,-1
H1W00216,0042500102,DET-ORL,4,437,19,-3,false,true,2,True,1,1
H1W00217,0042500102,DET-ORL,4,424,19,-1,false,true,2,True,-1,0
H1W00218,0042500102,DET-ORL,4,407,21,-1,false,true,-3,True,-3,0
H1W00219,0042500102,DET-ORL,4,392,21,3,false,false,-1,True,-3,0
H1W00220,0042500102,DET-ORL,4,344,18,2,false,true,0,True,-3,0
H1W00221,0042500102,DET-ORL,4,330,20,-3,false,true,-2,True,-5,0
H1W00222,0042500102,DET-ORL,4,318,20,-1,false,true,-2,True,-5,0
H1W00223,0042500102,DET-ORL,4,286,20,-1,false,true,-4,True,-5,0
H1W00224,0042500102,DET-ORL,4,271,18,-1,false,true,0,True,-3,0
H1W00225,0042500102,DET-ORL,4,233,18,-3,false,true,-3,True,-1,0
H1W00226,0042500102,DET-ORL,4,227,18,0,false,false,-3,True,-4,-1
H1W00227,0042500102,DET-ORL,4,193,18,-2,false,false,-3,True,-3,-1
H1W00228,0042500102,DET-ORL,4,139,15,-3,false,true,-1,False,,0
H1W00229,0042500102,DET-ORL,4,129,15,-3,false,true,0,False,,0
H1W00230,0042500102,DET-ORL,4,94,15,-3,false,true,0,False,,0
H1W00231,0042500102,DET-ORL,4,87,15,-1,false,true,0,False,,-1
H1W00232,0042500102,DET-ORL,4,66,17,-3,false,true,-2,False,,-1
H1W00233,0042500103,DET-ORL,1,624,-2,1,false,false,3,True,7,0
H1W00234,0042500103,DET-ORL,1,605,-2,-4,false,false,3,True,10,0
H1W00235,0042500103,DET-ORL,1,585,-2,-4,false,false,5,True,10,0
H1W00236,0042500103,DET-ORL,1,578,0,-4,false,false,3,True,8,0
H1W00237,0042500103,DET-ORL,1,559,-2,1,false,false,7,True,10,0
H1W00238,0042500103,DET-ORL,1,521,3,3,true,false,5,True,5,1
H1W00239,0042500103,DET-ORL,1,500,3,5,true,false,5,True,3,0
H1W00240,0042500103,DET-ORL,1,481,5,3,true,false,3,True,1,0
H1W00241,0042500103,DET-ORL,1,461,5,7,true,false,3,True,-1,-1
H1W00242,0042500103,DET-ORL,1,447,8,4,true,false,0,True,-2,-1
H1W00243,0042500103,DET-ORL,1,426,8,7,true,false,0,True,-4,-1
H1W00244,0042500103,DET-ORL,1,426,8,5,true,false,-2,True,-4,0
