nba_game_id,series_id,round_number,series_game_number,team_a,team_b,matchup,regulation_control_result,binary_control_accuracy_eligible,adjudicability_status,team_a_control_share,team_b_control_share,timing_eligible,explicit_call_eligible,categorical_eligible,continuous_eligible,forecast_control_team_tricode,categorical_correct,forecast_team_share,opponent_share,signed_regulation_control_share_margin,home_always_correct,higher_seed_always_correct,edited_note_flag
0042500101,DET-ORL,1,1,ORL,DET,ORL @ DET,TEAM_B_CONTROL,true,DETERMINATE,0.358974,0.415385,true,true,true,true,DET,true,0.415385,0.358974,0.05641099999999999,true,true,true
0042500111,BOS-PHI,1,1,PHI,BOS,PHI @ BOS,TEAM_B_CONTROL,true,DETERMINATE,0.209581,0.526946,true,true,true,true,BOS,true,0.526946,0.209581,0.317365,true,true,false
0042500141,OKC-PHX,1,1,PHX,OKC,PHX @ OKC,TEAM_B_CONTROL,true,DETERMINATE,0.154321,0.648148,true,true,true,true,OKC,true,0.648148,0.154321,0.4938269999999999,true,true,false
0042500151,SAS-POR,1,1,POR,SAS,POR @ SAS,INDETERMINATE,false,INDETERMINATE,0.449735,0.391534,true,true,false,true,SAS,,0.391534,0.449735,-0.058201,false,,true
0042500122,NYK-ATL,1,2,ATL,NYK,ATL @ NYK,INDETERMINATE,false,INDETERMINATE,0.308108,0.351351,true,true,false,true,NYK,,0.351351,0.308108,0.04324300000000003,false,,false
0042500112,BOS-PHI,1,2,PHI,BOS,PHI @ BOS,TEAM_A_CONTROL,true,DETERMINATE,0.428571,0.297143,true,true,true,true,BOS,false,0.297143,0.428571,-0.131428,false,false,true
0042500152,SAS-POR,1,2,POR,SAS,POR @ SAS,TEAM_A_CONTROL,true,DETERMINATE,0.471503,0.300518,true,true,true,true,SAS,false,0.300518,0.471503,-0.170985,false,false,false
0042500172,LAL-HOU,1,2,HOU,LAL,HOU @ LAL,INDETERMINATE,false,INDETERMINATE,0.39548,0.519774,true,true,false,true,HOU,,0.39548,0.519774,-0.12429399999999996,false,,false
0042500102,DET-ORL,1,2,ORL,DET,ORL @ DET,INDETERMINATE,false,INDETERMINATE,0.382653,0.443878,true,true,false,true,DET,,0.443878,0.382653,0.061224999999999974,false,,false
0042500142,OKC-PHX,1,2,PHX,OKC,PHX @ OKC,TEAM_B_CONTROL,true,DETERMINATE,0.219388,0.443878,true,true,true,true,OKC,true,0.443878,0.219388,0.22449,true,true,false
0042500123,NYK-ATL,1,3,NYK,ATL,NYK @ ATL,INDETERMINATE,false,INDETERMINATE,0.355,0.345,true,true,false,true,NYK,,0.355,0.345,0.010000000000000009,false,,false
0042500113,BOS-PHI,1,3,BOS,PHI,BOS @ PHI,TEAM_B_CONTROL,true,DETERMINATE,0.186441,0.367232,true,true,true,true,BOS,false,0.186441,0.367232,-0.180791,true,false,false
0042500153,SAS-POR,1,3,SAS,POR,SAS @ POR,INDETERMINATE,false,INDETERMINATE,0.381443,0.386598,true,true,false,true,SAS,,0.381443,0.386598,-0.005155000000000021,false,,false
