forecast_id,note_id,canonical_note_url,published_at_utc,nba_game_id,nba_game_url,gamebook_url,scheduled_tipoff_utc,actual_start_utc,tipoff_verification_status,local_only_validation
RF2026-001,c-245839479,https://substack.com/@markbarnekow/note/c-245839479,2026-04-19T14:32:31.733000Z,0042500101,https://www.nba.com/game/orl-vs-det-0042500101,https://statsdmz.nba.com/pdfs/20260419/20260419_ORLDET_book.pdf,2026-04-19T22:30:00Z,2026-04-19T22:38:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-002,c-245779220,https://substack.com/@markbarnekow/note/c-245779220,2026-04-19T12:01:41.329000Z,0042500111,https://www.nba.com/game/phi-vs-bos-0042500111,https://statsdmz.nba.com/pdfs/20260419/20260419_PHIBOS_book.pdf,2026-04-19T17:00:00Z,2026-04-19T17:11:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-003,c-245833291,https://substack.com/@markbarnekow/note/c-245833291,2026-04-19T14:19:15.126000Z,0042500141,https://www.nba.com/game/phx-vs-okc-0042500141,https://statsdmz.nba.com/pdfs/20260419/20260419_PHXOKC_book.pdf,2026-04-19T19:30:00Z,2026-04-19T19:47:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-004,c-245851198,https://substack.com/@markbarnekow/note/c-245851198,2026-04-19T14:57:10.369000Z,0042500151,https://www.nba.com/game/por-vs-sas-0042500151,https://statsdmz.nba.com/pdfs/20260419/20260419_PORSAS_book.pdf,2026-04-20T01:00:00Z,2026-04-20T01:18:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-005,c-246596146,https://substack.com/@markbarnekow/note/c-246596146,2026-04-20T23:37:01.558000Z,0042500122,https://www.nba.com/game/atl-vs-nyk-0042500122,https://statsdmz.nba.com/pdfs/20260420/20260420_ATLNYK_book.pdf,2026-04-21T00:00:00Z,2026-04-21T00:10:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-006,c-247097964,https://substack.com/@markbarnekow/note/c-247097964,2026-04-21T22:04:06.441000Z,0042500112,https://www.nba.com/game/phi-vs-bos-0042500112,https://statsdmz.nba.com/pdfs/20260421/20260421_PHIBOS_book.pdf,2026-04-21T23:00:00Z,2026-04-21T23:13:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-007,c-247112061,https://substack.com/@markbarnekow/note/c-247112061,2026-04-21T22:37:09.341000Z,0042500152,https://www.nba.com/game/por-vs-sas-0042500152,https://statsdmz.nba.com/pdfs/20260421/20260421_PORSAS_book.pdf,2026-04-22T00:00:00Z,2026-04-22T00:07:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-008,c-247124924,https://substack.com/@markbarnekow/note/c-247124924,2026-04-21T23:10:15.604000Z,0042500172,https://www.nba.com/game/hou-vs-lal-0042500172,https://statsdmz.nba.com/pdfs/20260421/20260421_HOULAL_book.pdf,2026-04-22T02:30:00Z,2026-04-22T02:48:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-009,c-247675603,https://substack.com/@markbarnekow/note/c-247675603,2026-04-22T22:30:42.830000Z,0042500102,https://www.nba.com/game/orl-vs-det-0042500102,https://statsdmz.nba.com/pdfs/20260422/20260422_ORLDET_book.pdf,2026-04-22T23:00:00Z,2026-04-22T23:14:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-010,c-247683188,https://substack.com/@markbarnekow/note/c-247683188,2026-04-22T22:50:18.412000Z,0042500142,https://www.nba.com/game/phx-vs-okc-0042500142,https://statsdmz.nba.com/pdfs/20260422/20260422_PHXOKC_book.pdf,2026-04-23T01:30:00Z,2026-04-23T01:48:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
