nba_game_id,series,round,series_game_number,away_team,home_team,away_seed,home_seed,rfactor_forecast_team,official_winner,away_score,home_score,final_margin,cap_team_a,cap_team_b,cap_team_a_control_share,cap_team_b_control_share,signed_control_share_difference_team_a_minus_team_b,absolute_control_share_difference,cap_categorical_controller,cap_determinacy_status,cap_controller_matched_winner,rfactor_matched_cap,rfactor_matched_eventual_winner,home_team_won,higher_seed_team,higher_seed_won,overtime,number_of_overtimes,halftime_margin,lead_changes,largest_lead,home_led_seconds,away_led_seconds,tied_seconds,clutch_game,permanent_winner_lead_fraction,one_possession_game,winner_led_fraction,loser_led_fraction
0042500111,BOS-PHI,1,1,PHI,BOS,7,2,BOS,BOS,91,123,32,PHI,BOS,0.209581,0.526946,-0.317365,0.317365,BOS,DETERMINATE,True,True,True,True,BOS,True,False,0,18,0,35,2839.0,0.0,41.0,False,0.05,False,0.9857638888888889,0.0
0042500112,BOS-PHI,1,2,PHI,BOS,7,2,BOS,PHI,111,97,14,PHI,BOS,0.428571,0.297143,0.131428,0.131428,PHI,DETERMINATE,True,False,False,False,BOS,False,False,0,8,7,16,839.0,1890.0,151.0,False,0.39652777777777776,False,0.65625,0.29131944444444446
0042500113,BOS-PHI,1,3,BOS,PHI,2,7,BOS,BOS,108,100,8,BOS,PHI,0.186441,0.367232,-0.180791,0.180791,PHI,DETERMINATE,False,False,True,False,BOS,True,False,0,7,8,10,476.0,2165.0,239.0,True,0.8527777777777777,False,0.7517361111111112,0.16527777777777777
0042500114,BOS-PHI,1,4,BOS,PHI,2,7,BOS,BOS,128,96,32,BOS,PHI,0.302469,0.339506,-0.03703699999999999,0.03703699999999999,INDETERMINATE,INDETERMINATE,NA,NA,True,False,BOS,True,False,0,18,4,32,28.0,2751.0,101.0,False,0.15625,False,0.9552083333333333,0.009722222222222222
0042500115,BOS-PHI,1,5,PHI,BOS,7,2,BOS,PHI,113,97,16,PHI,BOS,0.567568,0.275676,0.291892,0.291892,PHI,DETERMINATE,True,False,False,False,BOS,False,False,0,7,4,17,1601.0,1212.0,67.0,False,0.7559027777777778,False,0.42083333333333334,0.5559027777777777
0042500116,BOS-PHI,1,6,BOS,PHI,2,7,BOS,PHI,93,106,13,BOS,PHI,0.316327,0.454082,-0.13775499999999996,0.13775499999999996,PHI,DETERMINATE,True,False,False,True,BOS,False,False,0,9,8,23,2482.0,235.1,162.9,False,0.3548611111111111,False,0.8618055555555556,0.08163194444444444
0042500117,BOS-PHI,1,7,PHI,BOS,7,2,PHI,PHI,109,100,9,PHI,BOS,0.336898,0.379679,-0.04278100000000001,0.04278100000000001,INDETERMINATE,INDETERMINATE,NA,NA,True,False,BOS,False,False,0,5,2,18,31.0,2830.0,19.0,True,0.36770833333333336,False,0.9826388888888888,0.010763888888888889
0042500101,DET-ORL,1,1,ORL,DET,8,1,DET,ORL,112,101,11,ORL,DET,0.358974,0.415385,-0.05641099999999999,0.05641099999999999,DET,DETERMINATE,False,True,False,False,DET,False,False,0,4,0,13,0.0,2796.0,84.0,False,0.6104166666666667,False,0.9708333333333333,0.0
0042500102,DET-ORL,1,2,ORL,DET,8,1,DET,DET,83,98,15,ORL,DET,0.382653,0.443878,-0.061224999999999974,0.061224999999999974,INDETERMINATE,INDETERMINATE,NA,NA,True,True,DET,True,False,0,0,4,27,2644.3,44.0,191.7,False,0.5076388888888889,False,0.9181597222222223,0.015277777777777777
0042500103,DET-ORL,1,3,DET,ORL,1,8,DET,ORL,105,113,8,DET,ORL,0.319372,0.471204,-0.15183200000000002,0.15183200000000002,ORL,DETERMINATE,True,False,False,True,DET,False,False,0,7,12,17,2271.0,301.1,307.9,True,0.9479166666666666,False,0.7885416666666667,0.10454861111111112
