nba_game_id,rfactor_forecast_team,official_winner,higher_seed_team,rfactor_correct,always_home_team,always_home_correct,always_higher_seed_correct
0042500111,BOS,BOS,BOS,True,BOS,True,True
0042500112,BOS,PHI,BOS,False,BOS,False,False
0042500113,BOS,BOS,BOS,True,PHI,False,True
0042500114,BOS,BOS,BOS,True,PHI,False,True
0042500115,BOS,PHI,BOS,False,BOS,False,False
0042500116,BOS,PHI,BOS,False,PHI,True,False
0042500117,PHI,PHI,BOS,True,BOS,False,False
0042500101,DET,ORL,DET,False,DET,False,False
0042500102,DET,DET,DET,True,DET,True,True
0042500103,DET,ORL,DET,False,ORL,True,False
0042500104,DET,ORL,DET,False,ORL,True,False
0042500105,DET,DET,DET,True,DET,True,True
0042500106,DET,DET,DET,True,ORL,False,True
0042500107,DET,DET,DET,True,DET,True,True
0042500172,HOU,LAL,LAL,False,LAL,True,True
0042500173,LAL,LAL,LAL,True,HOU,False,True
0042500174,LAL,HOU,LAL,False,HOU,True,False
0042500175,LAL,HOU,LAL,False,LAL,False,False
0042500176,HOU,LAL,LAL,False,HOU,False,True
0042500122,NYK,ATL,NYK,False,NYK,False,False
0042500123,NYK,ATL,NYK,False,ATL,True,False
0042500124,NYK,NYK,NYK,True,ATL,False,True
0042500125,NYK,NYK,NYK,True,NYK,True,True
0042500126,NYK,NYK,NYK,True,ATL,False,True
0042500141,OKC,OKC,OKC,True,OKC,True,True
0042500142,OKC,OKC,OKC,True,OKC,True,True
0042500143,OKC,OKC,OKC,True,PHX,False,True
0042500144,OKC,OKC,OKC,True,PHX,False,True
0042500151,SAS,SAS,SAS,True,SAS,True,True
0042500152,SAS,POR,SAS,False,SAS,False,False
0042500153,SAS,SAS,SAS,True,POR,False,True
0042500154,SAS,SAS,SAS,True,POR,False,True
0042500155,SAS,SAS,SAS,True,SAS,True,True
0042500201,DET,DET,DET,True,DET,True,True
0042500202,DET,DET,DET,True,DET,True,True
0042500204,DET,CLE,DET,False,CLE,True,False
0042500205,DET,CLE,DET,False,DET,False,False
0042500206,CLE,DET,DET,False,CLE,False,True
0042500207,DET,CLE,DET,False,DET,False,False
0042500211,NYK,NYK,NYK,True,NYK,True,True
0042500212,NYK,NYK,NYK,True,NYK,True,True
0042500213,NYK,NYK,NYK,True,PHI,False,True
0042500221,OKC,OKC,OKC,True,OKC,True,True
0042500222,OKC,OKC,OKC,True,OKC,True,True
0042500223,OKC,OKC,OKC,True,LAL,False,True
0042500224,OKC,OKC,OKC,True,LAL,False,True
0042500231,SAS,MIN,SAS,False,SAS,False,False
0042500232,SAS,SAS,SAS,True,SAS,True,True
0042500233,SAS,SAS,SAS,True,MIN,False,True
0042500234,SAS,MIN,SAS,False,MIN,True,False
0042500235,SAS,SAS,SAS,True,SAS,True,True
0042500236,SAS,SAS,SAS,True,MIN,False,True
0042500302,NYK,NYK,NYK,True,NYK,True,True
0042500303,NYK,NYK,NYK,True,CLE,False,True
0042500304,NYK,NYK,NYK,True,CLE,False,True
0042500311,OKC,SAS,OKC,False,OKC,False,False
0042500312,OKC,OKC,OKC,True,OKC,True,True
0042500313,OKC,OKC,OKC,True,SAS,False,True
0042500314,OKC,SAS,OKC,False,SAS,True,False
0042500315,OKC,OKC,OKC,True,OKC,True,True
0042500316,OKC,SAS,OKC,False,SAS,True,False
0042500317,SAS,SAS,OKC,True,OKC,False,False
0042500401,NYK,NYK,SAS,True,SAS,False,False
0042500402,NYK,NYK,SAS,True,SAS,False,False
0042500403,NYK,SAS,SAS,False,NYK,False,True
0042500404,NYK,NYK,SAS,True,NYK,True,False
0042500405,NYK,NYK,SAS,True,SAS,False,False
