family,endpoint_id,raw_p_value,holm_adjusted_p_value,holm_rank,family_size,adjustment_scope,descriptive_items_excluded
C1,C1_C,1.5100145263047636e-06,4.5300435789142909e-06,1,3,Holm across 3 Fisher exact p-values,A1_2;A1_6;B1_3;C1_A_STRAT_ONE_POSSESSION;CTX_D;CTX_E;CTX_F;larger_largest_lead_descriptive_column
C1,C1_A,0.00040019693174173223,0.00080039386348346446,2,3,Holm across 3 Fisher exact p-values,A1_2;A1_6;B1_3;C1_A_STRAT_ONE_POSSESSION;CTX_D;CTX_E;CTX_F;larger_largest_lead_descriptive_column
C1,C1_B,0.0026514040528477704,0.0026514040528477704,3,3,Holm across 3 Fisher exact p-values,A1_2;A1_6;B1_3;C1_A_STRAT_ONE_POSSESSION;CTX_D;CTX_E;CTX_F;larger_largest_lead_descriptive_column
S1,S1_1,9.9990000999900015e-05,0.00039996000399960006,1,4,Holm across 4 permutation p-values,A1_2;A1_6;B1_3;C1_A_STRAT_ONE_POSSESSION;CTX_D;CTX_E;CTX_F;larger_largest_lead_descriptive_column
S1,S1_3,9.9990000999900015e-05,0.00039996000399960006,2,4,Holm across 4 permutation p-values,A1_2;A1_6;B1_3;C1_A_STRAT_ONE_POSSESSION;CTX_D;CTX_E;CTX_F;larger_largest_lead_descriptive_column
S1,S1_4,9.9990000999900015e-05,0.00039996000399960006,3,4,Holm across 4 permutation p-values,A1_2;A1_6;B1_3;C1_A_STRAT_ONE_POSSESSION;CTX_D;CTX_E;CTX_F;larger_largest_lead_descriptive_column
S1,S1_2,0.00019998000199980003,0.00039996000399960006,4,4,Holm across 4 permutation p-values,A1_2;A1_6;B1_3;C1_A_STRAT_ONE_POSSESSION;CTX_D;CTX_E;CTX_F;larger_largest_lead_descriptive_column
A1,A1_1,0.0014998500149985001,0.0059994000599940004,1,4,Holm across 4 permutation p-values,A1_2;A1_6;B1_3;C1_A_STRAT_ONE_POSSESSION;CTX_D;CTX_E;CTX_F;larger_largest_lead_descriptive_column
A1,A1_4,0.0045995400459954002,0.0137986201379862,2,4,Holm across 4 permutation p-values,A1_2;A1_6;B1_3;C1_A_STRAT_ONE_POSSESSION;CTX_D;CTX_E;CTX_F;larger_largest_lead_descriptive_column
A1,A1_3,0.27667233276672332,0.55334466553344663,3,4,Holm across 4 permutation p-values,A1_2;A1_6;B1_3;C1_A_STRAT_ONE_POSSESSION;CTX_D;CTX_E;CTX_F;larger_largest_lead_descriptive_column
A1,A1_5,0.845015498450155,0.845015498450155,4,4,Holm across 4 permutation p-values,A1_2;A1_6;B1_3;C1_A_STRAT_ONE_POSSESSION;CTX_D;CTX_E;CTX_F;larger_largest_lead_descriptive_column
B1,B1_1,0.14108589141085892,0.28217178282171784,1,2,Holm across 2 retained B1 p-values,A1_2;A1_6;B1_3;C1_A_STRAT_ONE_POSSESSION;CTX_D;CTX_E;CTX_F;larger_largest_lead_descriptive_column
B1,B1_2,0.2466859121270886,0.28217178282171784,2,2,Holm across 2 retained B1 p-values,A1_2;A1_6;B1_3;C1_A_STRAT_ONE_POSSESSION;CTX_D;CTX_E;CTX_F;larger_largest_lead_descriptive_column
