model_id,analysis_role,outcome_id,sample_definition,eligible_rows,game_count,series_count,formula_id,contrast_id,estimate,standard_error,ci_lower,ci_upper,p_two_sided,inference_method,cluster_unit,degrees_of_freedom,B,seed,grid_min,grid_max,grid_step,weighting_rule,status,omission_reason
H1_CR2_BY_SERIES,SENSITIVITY,Y5,H1_CR2_BY_SERIES,7092,68,13,H1_PRIMARY_FORMULA,HOME_CONTROL_MINUS_AWAY_CONTROL,-0.624387321674074,0.12844278130482545,-0.895525525090867,-0.3532491182572809,0.0001495412710428301,CR2,series_id,16.879353739345397,,,,,,1.0,ESTIMABLE,
H1_CR2_BY_GAME,SENSITIVITY,Y5,H1_CR2_BY_GAME,7092,68,13,H1_PRIMARY_FORMULA,HOME_CONTROL_MINUS_AWAY_CONTROL,-0.624387321674074,0.1358469973826681,-0.8967324990189958,-0.3520421443291521,2.620552223109307e-05,CR2,nba_game_id,54.101084589742165,,,,,,1.0,ESTIMABLE,
H1_PAIRS_SERIES_BOOTSTRAP,SENSITIVITY,Y5,H1_PAIRS_SERIES_BOOTSTRAP,7092,68,13,H1_PRIMARY_FORMULA,HOME_CONTROL_MINUS_AWAY_CONTROL,-0.6243873216748361,0.128162597335867,-0.8924038292803462,-0.4082071376975194,,PAIRS_BOOTSTRAP,series_id,,9999,2026082408,-5.0,5.0,0.005,1.0,ESTIMABLE,
H1_LEAVE_ONE_SERIES_OUT_RANGE,SENSITIVITY,Y5,LEAVE_ONE_SERIES_OUT_RANGE,7092,68,13,H1_PRIMARY_FORMULA,HOME_CONTROL_MINUS_AWAY_CONTROL,-0.6243873216748361,0.128162597335867,-0.6876613422775457,-0.5800487948872735,,DESCRIPTIVE,series_id,,,,,,,1.0,ESTIMABLE,
H1_STATE_TRANSITION_ROWS_ONLY,SENSITIVITY,Y5,H1_STATE_TRANSITION_ROWS_ONLY,353,68,13,H1_PRIMARY_FORMULA,HOME_CONTROL_MINUS_AWAY_CONTROL,0.35445226462746293,0.29432844149328685,-0.215,0.92,0.1987,WCR_WEBB,series_id,,9999,2026082401,-5.0,5.0,0.005,1.0,ESTIMABLE,
H1_EPISODE_CONFIRMATION_ONSET_ROWS_ONLY,SENSITIVITY,Y5,H1_EPISODE_CONFIRMATION_ONSET_ROWS_ONLY,733,68,13,H1_PRIMARY_FORMULA,HOME_CONTROL_MINUS_AWAY_CONTROL,0.0,0.0,0.0,0.0,0.0,WCR_WEBB,series_id,0.0,0,0,0.0,0.0,0.0,1.0,NOT_ESTIMABLE,
H1_NON_OVERLAPPING_WINDOWS,SENSITIVITY,Y5,H1_NON_OVERLAPPING_WINDOWS,1451,68,13,H1_PRIMARY_FORMULA,HOME_CONTROL_MINUS_AWAY_CONTROL,-0.5496552459013533,0.18491042403972405,-0.935,-0.16,0.0121,WCR_WEBB,series_id,,9999,2026082401,-5.0,5.0,0.005,1.0,ESTIMABLE,
H1_EQUAL_GAME_WEIGHTING,SENSITIVITY,Y5,H1_EQUAL_GAME_WEIGHTING,7092,68,13,H1_PRIMARY_FORMULA,HOME_CONTROL_MINUS_AWAY_CONTROL,-0.6048132410296099,0.13290802972000504,-0.91,-0.34,0.0006,WCR_WEBB,series_id,,9999,2026082401,-5.0,5.0,0.005,0.0,ESTIMABLE,
H1_ADD_NEXT_POSSESSION_OWNER_HOME,SENSITIVITY,Y5,H1_ADD_NEXT_POSSESSION_OWNER_HOME,7092,68,13,H1_PRIMARY_FORMULA_NEXT_OWNER,HOME_CONTROL_MINUS_AWAY_CONTROL,0.017079954637123113,0.1272422938812572,-0.275,0.28,0.8938,WCR_WEBB,series_id,,9999,2026082401,-5.0,5.0,0.005,1.0,ESTIMABLE,
H1_REMOVE_L5,SENSITIVITY,Y5,H1_REMOVE_L5,7092,68,13,H1_PRIMARY_FORMULA_NO_L5,HOME_CONTROL_MINUS_AWAY_CONTROL,0.48301521276973847,0.11552491156613527,0.22,0.705,0.0036,WCR_WEBB,series_id,,9999,2026082401,-5.0,5.0,0.005,1.0,ESTIMABLE,
