sensitivity_id,endpoint_id,analysis_role,row_filter_id,eligible_n,estimate,ci_lower,ci_upper,p_two_sided,status,omission_reason,B,seed,grid_min,grid_max,grid_step
EXCLUDE_EDITED_NOTES,H2_CATEGORICAL,SENSITIVITY,CATEGORICAL_ELIGIBLE_EXCLUDING_EDITED_NOTES,43,0.627906976744186,0.47859809156228933,0.7562366099290507,0.12628947438543037,ESTIMABLE,,,,,,
WCR_SERIES_DEPENDENCE_CHECK,H2_CATEGORICAL,SENSITIVITY,CATEGORICAL_ELIGIBLE,46,0.6304347826086956,0.417,0.867,0.2097,ESTIMABLE,,9999,2026082405,0.0,1.0,0.001
FIXED_ICC_WILSON_RHO_0.05,H2_CATEGORICAL,SENSITIVITY,CATEGORICAL_ELIGIBLE,46,0.6304347826086957,0.477208016233061,0.7612229715036012,,ESTIMABLE,,,,,,
FIXED_ICC_WILSON_RHO_0.10,H2_CATEGORICAL,SENSITIVITY,CATEGORICAL_ELIGIBLE,46,0.6304347826086957,0.4689533989387401,0.7671899161388823,,ESTIMABLE,,,,,,
LEAVE_ONE_SERIES_OUT_ACCURACY_RANGE,H2_CATEGORICAL,SENSITIVITY,CATEGORICAL_ELIGIBLE,46,0.6304347826086957,0.5952380952380952,0.6904761904761905,,ESTIMABLE,,,,,,
STRUCTURED_FIELD_ONLY_CALLS,H2_CATEGORICAL,SENSITIVITY,STRUCTURED_ONLY,46,0.6304347826086957,0.48600096420027483,0.7547624541165167,0.10380535550410741,ESTIMABLE,,,,,,
EXCLUDE_STRUCTURED_PROSE_CONFLICT_FLAGS,H2_CATEGORICAL,SENSITIVITY,NO_STRUCTURED_PROSE_CONFLICT,46,0.6304347826086957,0.48600096420027483,0.7547624541165167,0.10380535550410741,ESTIMABLE,,,,,,
H2_CONTINUOUS_RFACTOR_MINUS_HOME_ALWAYS_HOLM,H2_CONTINUOUS_VS_HOME,SENSITIVITY,CONTINUOUS_ELIGIBLE,67,0.037299074626865686,-0.063,0.149,0.9122,ESTIMABLE,,9999,2026082406,-1.0,1.0,0.001
H2_CONTINUOUS_RFACTOR_MINUS_HIGHER_SEED_ALWAYS_HOLM,H2_CONTINUOUS_VS_HIGHER_SEED,SENSITIVITY,CONTINUOUS_ELIGIBLE,67,-0.013006746268656716,-0.047,0.017,0.9122,ESTIMABLE,,9999,2026082407,-1.0,1.0,0.001
PRIMARY_VS_INCLUSIVE_CAP_ELIGIBILITY_SHARE_SOURCE,H2_CONTINUOUS,SENSITIVITY,INCLUSIVE_SHARE_SOURCE,0,0.0,0.0,0.0,,OMITTED,OMITTED_NOT_FEASIBLE_FROM_FROZEN_FIELDS,,,,,
OVERTIME_DESCRIPTION_SEPARATE_FROM_REGULATION,H2_OVERTIME_DESCRIPTIVE,DESCRIPTIVE,ALL_68_GAMES,68,0.04411764705882353,0.0,1.0,,ESTIMABLE,,,,,,
